PTIME,Item,PUT,GET,DELETE,SIZE,,,,,,,,,,,,,,
1,Total,1.91E+07,1.28E+06,710674,1517MB,,,,,,,,,,,,,,
16384,Average,1.16E+03,7.80E+01,4.34E+01,LEVEL 8,,Item,PUT,GET,DELETE,SIZE,,,,,,,,
2,Total,2.50E+07,1.61E+06,713683,1007MB,,Total,4.20E+07,1.68E+06,1.06E+06,1897MB,,,,,,,,
16384,Average,7.64E+02,4.90E+01,2.18E+01,LEVEL 8,,Average,8.55E+02,3.42E+01,2.16E+01,LEVEL 8,,,,,,,,
3,Total,4.20E+07,1.68E+06,1.06E+06,1897MB,,Throughput,1.17E+03,2.93E+04,4.64E+04,,,,,,,,,
16384,Average,8.55E+02,3.42E+01,2.16E+01,LEVEL 8,,,,,,,,,,,,,,
4,Total,6.32E+07,2.27E+05,1.44E+06,2080MB,,,,,,,,,,,,,,
16384,Average,9.64E+02,3.46E+00,2.19E+01,LEVEL 9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,PTIME,Item,PUT,GET,DELETE,SIZE,,,,,,,,,,,,
,,2,Total,2.50E+07,2.11E+06,713683,1007MB,,,,,,,,,,,,
,,16384,Average,7.64E+02,6.43E+01,2.18E+01,,,,,,,,,,,,,
,,3,Total,4.20E+07,1.98E+06,1.06E+06,1897MB,,,,,,,,,,,,
,,16384,Average,8.55E+02,4.03E+01,2.16E+01,,,,,,,,,,,,,
,PTIME,Item,GET,,,,,,,,,,,,,,,,
,2,TOTAL,4.12E+08,,PTIME,Item,GET,,,,,,,,,,,,
,,Average,1.26E+04,,2,TOTAL,1.01E+06,,,,,,,,,,,,
,3,TOTAL,9.04E+08,,,Average,3.09E+01,,,,,,,,,,,,
,,Average,1.84E+04,,3,TOTAL,1.73E+06,,,,,,,,,,,,
,,,,,,Average,3.52E+01,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
